API,Hidden API
/teams/{team_id}/invitations,/teams/{team_id}/teams
/en/rest/activity/feeds,/en/rest
/en/rest/using-the-rest-api/getting-started-with-the-rest-api,/en/rest/using-the-rest-api/troubleshooting-the-rest-api
/repos/{owner}/{repo}/environments/{environment_name}/deployment-branch-policies/{branch_policy_id},/repos/{owner}/{repo}
/orgs/{org}/packages/{package_type}/{package_name}/restore,/orgs/{org}/packages/{package_type}/{package_name}/versions
/repos/{owner}/{repo}/automated-security-fixes,/repos/{owner}/{repo}/collaborators
/users/{username}/packages,/users/{username}/repos
/repos/{owner}/{repo}/import,/repos/{owner}/{repo}/interaction-limits
/versions,/repositories
/orgs/{org},/orgs/{org}/repos
/repos/{owner}/{repo}/automated-security-fixes,/repos/{owner}/{repo}/events
/en/rest/commits,/en/rest/meta
/user/projects,/user/subscriptions
/en/rest/using-the-rest-api,/en/rest/apps
/repos/{owner}/{repo}/autolinks,/repos/{owner}/{repo}/import
/en/rest/collaborators,/en/rest/issues
/repos/{owner}/{repo}/milestones,/repos/{owner}/{repo}/transfer
/projects/columns/{column_id}/moves,/projects/columns/{column_id}
/en/rest,/en/rest/using-the-rest-api
/repos/{owner}/{repo}/check-runs/{check_run_id},/repos/{owner}/{repo}/check-runs/{check_run_id}/annotations
/repos/{owner}/{repo},/repos/{owner}/{repo}/branches/{branch}/protection/restrictions
/en/rest/repos/webhooks,/en/rest/repos/tags
/en/rest/projects,/en/rest/licenses
/en/rest/issues,/en/rest/markdown
/gists/{gist_id},/gists
/repos/{owner}/{repo},/repos/{owner}/{repo}/hooks/{hook_id}/pings
/assignments/{assignment_id}/accepted_assignments,/assignments/{assignment_id}/grades
/repos/{owner}/{repo}/comments,/repos/{owner}/{repo}/invitations
/orgs/{org}/codespaces/secrets/public-key,/orgs/{org}/codespaces/secrets/{secret_name}
/meta,/users
/repos/{owner}/{repo}/languages,/repos/{owner}/{repo}/environments
/repos/{owner}/{repo}/milestones,/repos/{owner}/{repo}/stargazers
/orgs/{org}/installations,/orgs/{org}/personal-access-tokens
/repos/{owner}/{repo}/topics,/repos/{owner}/{repo}/attestations
/en/rest/deploy-keys,/en/rest/activity
/orgs/{org}/code-security/configurations/{configuration_id}/defaults,/orgs/{org}/code-security/configurations
/user/starred/{owner}/{repo},/user
/en/rest/projects/projects,/en/rest/projects/cards
/repos/{owner}/{repo}/codespaces,/repos/{owner}/{repo}/activity
/repos/{owner}/{repo}/branches,/repos/{owner}/{repo}/tags
/orgs/{org}/codespaces/secrets/{secret_name}/repositories/{repository_id},/orgs/{org}/codespaces/secrets
/repos/{owner}/{repo}/hooks/{hook_id}/pings,/repos/{owner}/{repo}
/en/rest/activity,/en/rest/copilot
/en/rest/licenses,/en/rest/metrics
/repos/{owner}/{repo}/commits,/repos/{owner}/{repo}/stargazers
/en/rest/guides,/en/rest/guides/encrypting-secrets-for-the-rest-api
/orgs/{org}/code-scanning/alerts,/orgs/{org}
/codes_of_conduct,/codes_of_conduct/{key}
/repos/{owner}/{repo}/subscription,/repos/{owner}/{repo}/check-runs
/repos/{owner}/{repo}/branches/{branch}/protection/required_pull_request_reviews,/repos/{owner}/{repo}/branches/{branch}
/users/{username}/social_accounts,/users/{username}/gpg_keys
/orgs/{org}/teams/{team_slug}/discussions,/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/reactions
/orgs/{org}/{security_product}/{enablement},/orgs/{org}
/repos/{owner}/{repo}/pulls/{pull_number}/reviews,/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}/comments
/organizations,/markdown
/en/rest/branches,/en/rest/codes-of-conduct
/orgs/{org}/security-advisories,/orgs/{org}/projects
/users/{username}/social_accounts,/users
/repos/{owner}/{repo}/hooks,/repos/{owner}/{repo}/languages
/en/rest/collaborators,/en/rest/meta
/repos/{owner}/{repo},/repos/{owner}/{repo}/hooks/{hook_id}/deliveries/{delivery_id}
/orgs/{org}/codespaces,/orgs/{org}/teams
/en/rest/meta,/en/rest/teams
