API,Hidden API
/en/rest/actions/workflows,/en/rest/actions/secrets
/servicefabric/sfclient-model-state,/servicefabric/sfclient-model-entrypointstatus
/en/rest/users/ssh-signing-keys,/en/rest/users
/repos/{owner}/{repo}/commits/{ref}/check-runs,/repos/{owner}/{repo}/commits
/servicefabric/v82/sfclient-v82-api-getclusterhealthchunkusingpolicyandadvancedfilters,/servicefabric/v82/sfclient-v82-model-applicationcontainerinstanceexitedevent
/repos/{owner}/{repo}/milestones,/repos/{owner}/{repo}/activity
/orgs/{org}/members,/orgs/{org}/issues
/servicefabric/v82/sfclient-v82-model-partitionprimarymoveanalysisevent,/servicefabric/v82/sfclient-v82-model-chaostargetfilter
/user/packages/{package_type}/{package_name},/user/packages/{package_type}/{package_name}/restore
/servicefabric/sfclient-model-nodedeactivatestartedevent,/servicefabric/sfclient-api-copyimagestorecontent
/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/comments/{comment_number},/orgs/{org}/teams/{team_slug}/discussions/{discussion_number}/comments/{comment_number}/reactions/{reaction_id}
/en/rest/apps,/en/rest/actions
/servicefabric/sfclient-model-guidpropertyvalue,/servicefabric/sfclient-model-state
/zen,/markdown
/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/dnsZones/{zoneName}/{recordType}/{relativeRecordSetName},/resourceGroups/{resourceGroupName}/providers/Microsoft.Network
/orgs/{org}/actions/variables/{name}/repositories/{repository_id},/orgs/{org}/actions/variables
/en/rest/dependency-graph,/en/rest/users
/resourceGroups/{resourceGroupName}/providers/Microsoft.DatabaseWatcher/watchers/{watcherName}/sharedPrivateLinkResources/{sharedPrivateLinkResourceName},/resourceGroups/{resourceGroupName}
/users/{username}/starred,/users/{username}/social_accounts
/en/rest/dependabot,/en/rest/repos
/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/privateEndpoints,/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/applicationSecurityGroups
/datasets,/models
/providers/Microsoft.Network/azureFirewallFqdnTags,/providers/Microsoft.Network/FrontDoorWebApplicationFirewallManagedRuleSets
/aiservices/,/issues
/user/marketplace_purchases,/user/issues
/servicefabric/v82/sfclient-v82-model-chaosstoppedevent,/servicefabric/v82/sfclient-v82-model-usageinfo
/repositories,/application-insights/
/servicefabric/sfclient-model-nodeid,/servicefabric/sfclient-model-httpconfig
/orgs/{org},/orgs/{org}/teams/{team_slug}/invitations
/servicefabric/sfclient-api-updatepartitionload,/servicefabric/sfmeshrp-api-replica_listbyservicename
